id,date,startYear,endYear,precision,title,type,apUnit,apTopic,region,category,apTheme,tier,description,whyItMatters,causes,effects,memoryHook,sourceNote,confidence
bg-001,1302,1302,1302,exact,Unam Sanctam,event,1,1.1,France; Italy,religion; political,SOP; CID,3,"Pope Boniface VIII issues the bull Unam Sanctam, asserting supreme papal authority over secular rulers.",Illustrates late medieval tension between church and state that sets the stage for the decline of papal authority and the rise of national monarchies.,Conflict between Philip IV of France and the papacy over taxation of clergy,Crime of Anagni (1303); Weakened papal prestige; Led to Babylonian Captivity,Unam Sanctam = One Holy (papal supremacy claim before the fall),Viault Ch.1,high
bg-002,1305–1378,1305,1378,range,Babylonian Captivity of the Papacy,period,1,1.1,France,religion; political,SOP; CID,2,"Seven successive French popes reside in Avignon under substantial French royal influence, undermining universal papal authority.","Damaged papal prestige and helped create conditions for the Great Schism, conciliarism, and eventually the Reformation.",Conflict between Philip IV and Boniface VIII; Anarchy in Rome,Great Schism; Erosion of papal spiritual authority; Growth of national church sentiment,70 years in Avignon = 70 years of Babylonian exile parallel,Viault Ch.1,high
bg-003,1347–1351,1347,1351,range,Black Death,event,1,1.1,Italy; France; Britain; German States; Spain; Eastern Europe,social; economic,SOD; ECON,1,"Bubonic plague devastates Europe, killing roughly one-third of the population and transforming social, economic, and psychological conditions.","Essential contextualization for nearly every AP Euro development: labor shortages, decline of serfdom, price changes, religious upheaval, and demographic shifts that shaped the Renaissance and early modern period.",Spread along trade routes from Asia; Rat-flea transmission in crowded urban areas,Massive population decline; Labor shortages → higher wages → decline of serfdom; Intensified religious fervor and persecution of Jews; Accelerated economic transformation,1347 = Black Death arrives; kills 1/3 of Europe,Viault Ch.1; CED,high
bg-004,1337–1453,1337,1453,range,Hundred Years' War,war,1,1.1,France; Britain,war-diplomacy; political,SOP,2,"Prolonged Anglo-French conflict that weakened feudal nobility, strengthened national monarchies, and fostered national identity in both countries.","Explains the rise of national monarchies in France and England, weakening of feudal structures, and growing national consciousness — all preconditions for AP Euro's state-building theme.",Dynastic claims to the French throne; Territorial disputes over English holdings in France,English lose continental holdings except Calais; Strengthened French monarchy; Wars of the Roses in England; Growth of national identity,100 Years War ends 1453 — same year Constantinople falls,Viault Ch.1,high
bg-005,1378–1417,1378,1417,range,Great Schism,period,1,1.1,Italy; France,religion,CID; SOP,2,"Two (then three) rival popes claim authority, splitting Catholic Europe along political lines and further eroding papal prestige.","Weakened the institutional church, strengthened conciliarism, and set the stage for challenges to papal authority culminating in the Reformation.",Babylonian Captivity legacy; Disputed papal elections,Council of Constance resolves schism; Conciliar movement; Further erosion of papal authority,"Great Schism: 2 popes, then 3 — nobody knows who's boss",Viault Ch.1,high
bg-006,1455–1485,1455,1485,range,Wars of the Roses,war,1,1.1,Britain,war-diplomacy; political,SOP,3,"English civil war between Lancaster and York factions, ending with Henry Tudor's victory and the establishment of the Tudor dynasty.",Explains the rise of Tudor 'new monarchy' and centralized English state — a model for AP Euro state-building discussions.,Weakness of English monarchy after Hundred Years' War; Noble factionalism,Tudor dynasty established; Henry VII consolidates royal power; Decline of feudal nobility,Red rose vs. White rose → Tudor rose combines both,Viault Ch.1,high
bg-007,1414–1418,1414,1418,range,Council of Constance,event,1,1.1,German States,religion,CID; SOP,3,"Church council ends the Great Schism by electing Pope Martin V and burns Jan Hus as a heretic, but fails to achieve lasting reform.",Represents the conciliar movement's high point and its failure to reform the church — context for why the Reformation became necessary.,Great Schism; Demands for church reform,End of Great Schism; Hussite Wars in Bohemia; Conciliarism fails to sustain reform momentum,"Constance: ended Schism, burned Hus, failed reform",Viault Ch.1,high
bg-008,1453,1453,1453,exact,Fall of Constantinople,event,1,1.2,Eastern Europe,war-diplomacy; intellectual,INT; CID,2,"Ottoman Turks capture Constantinople, ending the Byzantine Empire and sending Greek scholars westward, stimulating Renaissance humanism.","Watershed year: ends the medieval Eastern Roman Empire, redirects trade routes, pushes Greek learning west, motivates European exploration for new routes to Asia.",Ottoman expansion; Byzantine decline,Greek scholars flee to Italy → boost Renaissance; Ottoman control of eastern Mediterranean trade; Impetus for Atlantic exploration,"1453: Constantinople falls, Hundred Years' War ends — medieval world ending",Viault Ch.1; CED,high
u1-001,c. 1350–1600,1350,1600,range,Italian Renaissance,process,1,1.2,Italy,artistic; intellectual,CID,1,"Cultural movement originating in Italian city-states emphasizing classical learning, secular values, humanism, and artistic innovation.","Foundational AP Euro concept: defines the beginning of the course, introduces humanism, secularism, individualism, and the revival of classical antiquity that shapes all subsequent intellectual history.","Wealth of Italian city-states from trade and banking; Classical manuscripts preserved and rediscovered; Patronage by Medici, popes, and other elites; Fall of Constantinople sends Greek scholars west","Spread of humanism across Europe (Northern Renaissance); New artistic techniques (perspective, oil painting); Secular political thought (Machiavelli); Foundation for Scientific Revolution",Renaissance = Rebirth of classical learning in wealthy Italian cities,Viault Ch.2; CED,high
u1-002,c. 1350–1550,1350,1550,range,Humanism,movement,1,1.2,Italy; France; Britain; German States; Netherlands,intellectual,CID,1,"Intellectual movement emphasizing study of classical Greek and Latin texts, human potential, rhetoric, and civic virtue — the educational philosophy of the Renaissance.","Core AP concept: humanism is the intellectual engine of the Renaissance, influencing education, politics, religion (Christian humanism), and art. Essential for LEQ/DBQ on intellectual developments.",Rediscovery of classical manuscripts; Petrarch's promotion of Latin literary study; Urban wealth supporting scholarly pursuits,"Educational reform emphasizing classical languages; Civic humanism in Florence; Christian humanism (Erasmus, More); Critical textual analysis (Valla)",Humanism = 'ad fontes' (back to sources) + human potential,Viault Ch.2-3; CED,high
