front,back,apUnit,geoSpriteCategory,reasoningProcess,difficulty,mustKnow
"What was the Renaissance?","A cultural and intellectual movement (c. 1350-1550) that revived classical Greek and Roman learning, emphasized human potential and individual achievement, and shifted European culture toward secular humanism. Fun fact: Renaissance literally means ""rebirth"" -- Europe basically hit Ctrl+Z on the Middle Ages.",1,I,recall,easy,yes
"What year did the fall of Constantinople occur, and why does it matter?","1453. The Ottoman conquest of Constantinople disrupted traditional eastern trade routes, pushing Europeans to seek new sea routes to Asia -- which eventually led to the Age of Exploration. The Byzantines held on for 1,000 years after Rome fell, only to lose it all to a 21-year-old sultan.",1,G,recall,easy,yes
"What was Gutenberg's printing press and when was it developed?","Johannes Gutenberg developed movable-type printing around 1456. It revolutionized the spread of ideas by making books cheaper and faster to produce, laying the infrastructure for the Reformation and the Scientific Revolution. Basically the 15th-century version of going viral.",1,T,recall,easy,yes
"Who wrote The Prince and what was its main argument?","Niccolò Machiavelli (1513). He argued that effective rulers must prioritize practical results over moral ideals -- ""it is better to be feared than loved."" He was the original ""the ends justify the means"" guy.",1,P,recall,medium,yes
"What was the Commercial Revolution?","The expansion of European trade, banking, and capitalism (c. 1450-1600) that created new wealth, a merchant class, and financial instruments like joint-stock companies. Not to be confused with the Industrial Revolution -- this one runs on ships and ledgers, not steam and factories.",1,E,recall,medium,yes
"What is the Columbian Exchange?","The massive transfer of plants, animals, diseases, people, and ideas between the Americas and the Old World following Columbus's 1492 voyage. Europe got tomatoes and potatoes; the Americas got smallpox and horses. Worst trade deal in history for Indigenous peoples.",1,G,recall,easy,yes
"What were the New Monarchies?","Centralized states in France, England, and Spain (c. 1450-1550) that consolidated royal power through standing armies, professional bureaucracies, and new taxation. Think of them as Absolutism 0.5 -- the beta version.",1,P,recall,medium,yes
"What was the difference between Italian Renaissance humanism and Northern Renaissance humanism?","Italian humanism was more secular, focused on classical art, literature, and individual achievement. Northern humanism (Christian humanism) applied humanist textual criticism to religious texts -- Erasmus wanted to fix the Church, not ignore it.",1,I,recall,medium,yes
"What was Luther's central theological argument in the 95 Theses (1517)?","Luther attacked the sale of indulgences and argued that salvation comes through faith alone (sola fide), not through works or payments to the Church. He basically filed a complaint that went viral thanks to the printing press.",2,R,recall,easy,yes
"What was the Peace of Augsburg (1555)?","A settlement that allowed German princes to choose Lutheranism or Catholicism for their territories (cuius regio, eius religio). It excluded Calvinism and gave individuals no choice -- you worshipped whatever your prince picked.",2,P,recall,easy,yes
"What was the Thirty Years' War (1618-1648)?","Initially a religious conflict between Catholics and Protestants in the Holy Roman Empire that evolved into a secular power struggle involving most of Europe. It killed roughly a third of Germany's population. Catholic France allied with Protestant Sweden -- because geopolitics beats theology.",2,P,recall,medium,yes
"What did the Peace of Westphalia (1648) establish?","It ended the Thirty Years' War, recognized Calvinism alongside Lutheranism and Catholicism, weakened the Holy Roman Empire, and established the principle of state sovereignty. It's basically the birth certificate of the modern international system.",2,P,recall,easy,yes
"What was the Council of Trent (1545-1563)?","The Catholic Church's response to the Reformation: it reaffirmed Catholic doctrine, reformed clerical abuses, and launched the Counter-Reformation. Think of it as the Church's software update -- fixing bugs while insisting the operating system was always correct.",2,R,recall,medium,yes
"What was the St. Bartholomew's Day Massacre (1572)?","The mass killing of Huguenots (French Calvinists) by Catholic mobs in Paris and across France during the French Wars of Religion. Estimates range from 5,000 to 30,000 dead. It showed that religious hatred could override any political settlement.",2,R,recall,medium,yes
"How did Henry VIII's break from Rome differ from Luther's Reformation?","Henry's break was political (he wanted an annulment the Pope wouldn't grant), not theological -- he stayed doctrinally Catholic but made himself head of the English Church via the Act of Supremacy (1534). Luther wanted to fix theology; Henry wanted a divorce.",2,P,recall,medium,yes
