title,date,apUnit,region,G_score,S_score,P_score,R_score,I_score,T_score,E_score,strongestLens,secondLens,bestContextUse,bestEssayEvidence,bestComplexityMove,dangerWarning
Unam Sanctam,1302,1,France; Italy,1,1,3,3,1,0,1,P,R,"Before the Reformation, the medieval papacy had already overplayed its hand—Boniface VIII's Unam Sanctam claimed total authority over kings, then France literally kidnapped him.",Investiture Controversy; Avignon Papacy; Philip IV's consolidation of French monarchy,"Although Unam Sanctam claimed absolute papal supremacy, its immediate failure actually accelerated the secularization of European politics",Students often wrongly assume the pope was always powerful in the Middle Ages—Unam Sanctam shows the papacy was already losing to nation-states by 1302
Babylonian Captivity of the Papacy,1305-1378,1,France; Italy,3,1,3,2,1,0,2,G,P,"Before Luther nailed anything to any door, the papacy had already spent 73 years as a French satellite in Avignon, shredding its credibility.",Unam Sanctam; Great Schism; Marsilius of Padua's Defensor Pacis,"Although the Avignon popes were criticized as French puppets, they actually built an efficient bureaucratic administration that modernized papal governance",Students often confuse the Babylonian Captivity of the papacy (1305-1378) with Luther's tract 'On the Babylonian Captivity of the Church' (1520)
Black Death,1347-1351,1,Europe-wide,3,3,2,2,1,1,3,S,E,"Before the Renaissance transformed European culture, the Black Death had already shattered the medieval order—killing a third of the population and empowering survivors.",English Peasants' Revolt 1381; Statute of Laborers; Second serfdom in Eastern Europe,"Although the Black Death was catastrophic, the resulting labor shortage actually improved conditions for surviving peasants in Western Europe while paradoxically strengthening serfdom in the East",Students often treat the Black Death as only a death toll—miss that its biggest AP impact is the economic/social restructuring that followed
Hundred Years' War,1337-1453,1,France; England,2,2,3,1,0,2,2,P,T,"Before new monarchies consolidated power, the Hundred Years' War had already begun replacing feudal levies with standing armies and building the tax infrastructure of centralized states.",Battle of Agincourt; Joan of Arc; Wars of the Roses,"Although the Hundred Years' War devastated France, it paradoxically created the conditions for French centralization by discrediting feudal military organization",Students often focus only on battles and Joan of Arc—miss the AP-relevant point that the war drove state centralization and military modernization
Great Schism,1378-1417,1,Italy; France; Europe-wide,2,1,3,3,2,0,1,P,R,"Before Luther challenged the church, it had already split itself—the Great Schism produced three competing popes and proved the papacy was a political institution.",Council of Constance; Conciliarism; Jan Hus,"Although the Council of Constance resolved the Schism, the conciliarist ideas it generated continued to challenge papal authority and foreshadowed Protestant arguments","Students often confuse the Great Schism (1378, Western, rival popes) with the East-West Schism (1054, Catholic vs. Orthodox)"
Wars of the Roses,1455-1485,1,England,1,2,3,0,0,1,1,P,S,"Before Henry VIII could declare himself head of the English Church, his father Henry VII had first rebuilt royal authority from the ashes of the Wars of the Roses.",Henry VII's Star Chamber; Tudor dynasty; Hundred Years' War aftermath,"Although the Wars of the Roses were destructive, they inadvertently created the conditions for strong Tudor governance by eliminating rival noble factions",Students often skip straight to Henry VIII without understanding that Tudor power was built on the Wars of the Roses destroying the old nobility
Council of Constance,1414-1418,1,Holy Roman Empire,1,1,3,3,2,0,0,P,R,"Before Luther, the Council of Constance had already tried to reform the church—and burned Jan Hus for suggesting many of the same things Luther later said.",Jan Hus; Hussite Wars; Haec Sancta decree,"Although the Council of Constance successfully ended the Schism, its suppression of Hus and failure to enact lasting reforms ensured that the underlying problems would resurface in the Reformation",Students often forget that Constance burned Hus DESPITE granting him safe conduct—this betrayal radicalized Bohemia and set a precedent reformers remembered
Fall of Constantinople,1453,1,Ottoman Empire; Eastern Mediterranean,3,1,3,2,2,2,3,G,E,"Before Columbus sailed west, the fall of Constantinople had already disrupted Europe's access to eastern trade, creating the economic incentive for new routes.",Portuguese exploration of African coast; Vasco da Gama; Italian Renaissance,"Although the fall of Constantinople disrupted Eastern trade, recent scholarship suggests trade routes had already been shifting—the fall accelerated rather than caused the move toward Atlantic exploration",Students often overstate the 'Greek scholars fleeing to Italy' narrative—the Renaissance was already underway; Constantinople's fall boosted it but didn't cause it
Italian Renaissance,1350-1600,1,Italian Peninsula,3,2,2,1,3,1,3,I,E,"Before the Reformation challenged the church, the Italian Renaissance had already shifted European culture toward secular humanism, individual achievement, and classical learning.",Medici banking family; Leonardo da Vinci; Brunelleschi's dome,"Although the Renaissance celebrated secular humanism, the Church remained the single largest patron of art, and most 'Renaissance' works were religious in subject matter","Students often describe the Renaissance as anti-religious—it wasn't. It was a shift in emphasis toward secular AND religious themes, funded largely by the church itself"
Humanism,1350-1550,1,Italian Peninsula; Europe-wide,1,2,2,1,3,1,1,I,S,"Before the Reformation's theological debates, humanism had already trained a generation of scholars to go back to original sources—a skill Luther would use on the Bible itself.",Petrarch as 'Father of Humanism'; Pico's Oration on the Dignity of Man; Erasmus's Greek New Testament,"Although humanism is often portrayed as secular, Christian humanists like Erasmus used the same classical methods to pursue religious reform, blurring the secular/religious divide","Students often equate humanism with atheism—Renaissance humanists were almost all Christian; 'humanism' meant studying human-centered classical texts, not rejecting God"
